gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000106608.16,URGCP,-0.21163249015808105,NA,0.832393759927981,0.00014639175053581953,NA,NA,NA,1,1.0,1
ENSG00000076944.15,STXBP2,-0.2116219275280453,NA,0.8324020010616304,0.0094045862627749,NA,NA,NA,2,2.0,2
ENSG00000136371.10,MTHFS,-0.21145598529887338,NA,0.8325314742722538,0.03241390942584747,NA,NA,NA,3,3.0,3
ENSG00000047579.19,DTNBP1,0.21130957707306516,NA,0.8326457102276563,0.044290063709547606,NA,NA,NA,2,2.0,2
ENSG00000107929.14,LARP4B,0.21128758788108826,NA,0.8326628677407806,0.0015605153302071682,NA,NA,NA,1,1.0,1
ENSG00000152454.3,ZNF256,-0.21120619773864746,NA,0.8327263747440592,0.004318561357780889,NA,NA,NA,1,1.0,1
ENSG00000198042.10,MAK16,0.2110038548707962,NA,0.8328842633255392,0.0009770219697075814,NA,NA,NA,1,1.0,1
ENSG00000107968.9,MAP3K8,0.21099458790359507,NA,0.8328914945217604,0.006522813334574257,NA,NA,NA,2,2.0,2
ENSG00000196584.2,XRCC2,-0.2109224498271942,NA,0.8329477857606968,0.026752637090790538,NA,NA,NA,1,1.0,1
ENSG00000161692.17,DBF4B,0.21091163382980052,NA,0.8329562258418716,0.1992041802706264,NA,NA,NA,4,4.0,4
ENSG00000143486.15,EIF2D,-0.21090438961982727,NA,0.8329618787497305,0.004211902982056698,NA,NA,NA,1,1.0,1
ENSG00000137726.16,FXYD6,-0.21088872849941254,NA,0.8329740996937446,0.014888771816860956,NA,NA,NA,1,1.0,1
ENSG00000184708.17,EIF4ENIF1,-0.2107934653759003,NA,0.8330484378562473,0.00975776290871423,NA,NA,NA,1,1.0,1
ENSG00000271151.1,RP11-394I13.2,-0.210766151547432,NA,0.8330697523584312,0.004974346403085443,NA,NA,NA,1,1.0,1
ENSG00000136169.16,SETDB2,0.2106346637010574,NA,0.8331723613678643,0.0013670018413178904,NA,NA,NA,1,1.0,1
ENSG00000073712.14,FERMT2,-0.2105800956487656,NA,0.8332149454064377,0.009574109407709395,NA,NA,NA,1,1.0,1
ENSG00000204614.8,TRIM40,-0.21046145260334015,NA,0.8333075342371381,0.000574843449332296,NA,NA,NA,1,1.0,1
ENSG00000169740.13,ZNF32,-0.21033474260926247,NA,0.8334064210538973,0.0013526707874825933,NA,NA,NA,2,2.0,2
ENSG00000165512.4,ZNF22,0.21018312871456143,NA,0.8335247467973763,0.0012580312439595654,NA,NA,NA,1,1.0,1
ENSG00000142405.21,NLRP12,-0.2101720500709393,NA,0.8335333931761538,0.010047790172749527,NA,NA,NA,4,4.0,4
ENSG00000116957.12,TBCE,-0.20983750150267755,NA,0.8337945026359498,0.02583633984513266,NA,NA,NA,2,2.0,2
ENSG00000213967.10,ZNF726,-0.20962713658809665,NA,0.8339586982579291,0.0006181959037477637,NA,NA,NA,1,1.0,1
ENSG00000267795.5,SMIM22,-0.2092495212295491,NA,0.8342534556276593,0.2744331556653936,NA,NA,NA,2,2.0,2
ENSG00000114978.17,MOB1A,0.20887723302170838,NA,0.8345440775540927,0.0011254689963389273,NA,NA,NA,2,2.0,2
